cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+02
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.556885E-01  -2.287111E-15   4.431152E-02
 4.555664E-01  -2.326887E-15   4.443359E-02
 4.554443E-01  -2.326887E-15   4.455566E-02
 4.553223E-01  -2.346775E-15   4.467773E-02
 4.552002E-01  -2.366663E-15   4.479980E-02
 4.550781E-01  -2.346775E-15   4.492188E-02
 4.549561E-01  -2.346775E-15   4.504395E-02
 4.548340E-01  -2.386551E-15   4.516602E-02
 4.547119E-01  -2.366663E-15   4.528809E-02
 4.545898E-01  -2.426327E-15   4.541016E-02
 4.544678E-01  -2.386551E-15   4.553223E-02
 4.543457E-01  -2.406439E-15   4.565430E-02
 4.542236E-01  -2.426327E-15   4.577637E-02
 4.541016E-01  -2.446215E-15   4.589844E-02
 4.539795E-01  -2.466103E-15   4.602051E-02
 4.538574E-01  -2.485991E-15   4.614258E-02
 4.537354E-01  -2.485991E-15   4.626465E-02
 4.536133E-01  -2.505878E-15   4.638672E-02
 4.534912E-01  -2.485991E-15   4.650879E-02
 4.533691E-01  -2.505878E-15   4.663086E-02
 4.532471E-01  -2.525766E-15   4.675293E-02
 4.531250E-01  -2.525766E-15   4.687500E-02
 4.530029E-01  -2.545654E-15   4.699707E-02
 4.528809E-01  -2.565542E-15   4.711914E-02
 4.527588E-01  -2.585430E-15   4.724121E-02
 4.526367E-01  -2.565542E-15   4.736328E-02
 4.525146E-01  -2.565542E-15   4.748535E-02
